precinct_id,is_complete,votes,votes_align1,votes_alignfinal,GEOID10,candidate,precinct,precinct_full,align1,alignfinal,county,congressional_district,precinct_delegates
Wynn,FALSE,0,0,0,32003-Wynn,bennetm,Wynn,Wynn_Wynn,0,0,Clark,NA,11
Wynn,FALSE,0,0,0,32003-Wynn,bidenj,Wynn,Wynn_Wynn,0,0,Clark,NA,11
Wynn,FALSE,0,0,0,32003-Wynn,buttigiegp,Wynn,Wynn_Wynn,0,0,Clark,NA,11
Wynn,FALSE,0,0,0,32003-Wynn,delaneyj,Wynn,Wynn_Wynn,0,0,Clark,NA,11
Wynn,FALSE,0,0,0,32003-Wynn,gabbardt,Wynn,Wynn_Wynn,0,0,Clark,NA,11
Wynn,FALSE,0,0,0,32003-Wynn,klobuchara,Wynn,Wynn_Wynn,0,0,Clark,NA,11
Wynn,FALSE,0,0,0,32003-Wynn,patrickd,Wynn,Wynn_Wynn,0,0,Clark,NA,11
Wynn,FALSE,0,0,0,32003-Wynn,sandersb,Wynn,Wynn_Wynn,0,0,Clark,NA,11
Wynn,FALSE,0,0,0,32003-Wynn,steyert,Wynn,Wynn_Wynn,0,0,Clark,NA,11
Wynn,FALSE,0,0,0,32003-Wynn,warrene,Wynn,Wynn_Wynn,0,0,Clark,NA,11
Wynn,FALSE,0,0,0,32003-Wynn,yanga,Wynn,Wynn_Wynn,0,0,Clark,NA,11
Wynn,FALSE,0,0,0,32003-Wynn,uncommitted,Wynn,Wynn_Wynn,0,0,Clark,NA,11
Voting District Undefined,FALSE,0,0,0,46043-Voting District Undefined,bennetm,Voting District Undefined,Voting District Undefined_Voting District Undefined,0,0,NA,NA,NA
Voting District Undefined,FALSE,0,0,0,46043-Voting District Undefined,bidenj,Voting District Undefined,Voting District Undefined_Voting District Undefined,0,0,NA,NA,NA
Voting District Undefined,FALSE,0,0,0,46043-Voting District Undefined,buttigiegp,Voting District Undefined,Voting District Undefined_Voting District Undefined,0,0,NA,NA,NA
Voting District Undefined,FALSE,0,0,0,46043-Voting District Undefined,delaneyj,Voting District Undefined,Voting District Undefined_Voting District Undefined,0,0,NA,NA,NA
Voting District Undefined,FALSE,0,0,0,46043-Voting District Undefined,gabbardt,Voting District Undefined,Voting District Undefined_Voting District Undefined,0,0,NA,NA,NA
Voting District Undefined,FALSE,0,0,0,46043-Voting District Undefined,klobuchara,Voting District Undefined,Voting District Undefined_Voting District Undefined,0,0,NA,NA,NA
Voting District Undefined,FALSE,0,0,0,46043-Voting District Undefined,patrickd,Voting District Undefined,Voting District Undefined_Voting District Undefined,0,0,NA,NA,NA
Voting District Undefined,FALSE,0,0,0,46043-Voting District Undefined,sandersb,Voting District Undefined,Voting District Undefined_Voting District Undefined,0,0,NA,NA,NA
Voting District Undefined,FALSE,0,0,0,46043-Voting District Undefined,steyert,Voting District Undefined,Voting District Undefined_Voting District Undefined,0,0,NA,NA,NA
Voting District Undefined,FALSE,0,0,0,46043-Voting District Undefined,warrene,Voting District Undefined,Voting District Undefined_Voting District Undefined,0,0,NA,NA,NA
Voting District Undefined,FALSE,0,0,0,46043-Voting District Undefined,yanga,Voting District Undefined,Voting District Undefined_Voting District Undefined,0,0,NA,NA,NA
Voting District Undefined,FALSE,0,0,0,46043-Voting District Undefined,uncommitted,Voting District Undefined,Voting District Undefined_Voting District Undefined,0,0,NA,NA,NA
Rio,FALSE,0,0,0,32003-Rio,bennetm,Rio,Rio_Rio,0,0,Clark,NA,13
Rio,FALSE,0,0,0,32003-Rio,bidenj,Rio,Rio_Rio,0,0,Clark,NA,13
Rio,FALSE,0,0,0,32003-Rio,buttigiegp,Rio,Rio_Rio,0,0,Clark,NA,13
Rio,FALSE,0,0,0,32003-Rio,delaneyj,Rio,Rio_Rio,0,0,Clark,NA,13
Rio,FALSE,0,0,0,32003-Rio,gabbardt,Rio,Rio_Rio,0,0,Clark,NA,13
Rio,FALSE,0,0,0,32003-Rio,klobuchara,Rio,Rio_Rio,0,0,Clark,NA,13
Rio,FALSE,0,0,0,32003-Rio,patrickd,Rio,Rio_Rio,0,0,Clark,NA,13
Rio,FALSE,0,0,0,32003-Rio,sandersb,Rio,Rio_Rio,0,0,Clark,NA,13
Rio,FALSE,0,0,0,32003-Rio,steyert,Rio,Rio_Rio,0,0,Clark,NA,13
Rio,FALSE,0,0,0,32003-Rio,warrene,Rio,Rio_Rio,0,0,Clark,NA,13
Rio,FALSE,0,0,0,32003-Rio,yanga,Rio,Rio_Rio,0,0,Clark,NA,13
Rio,FALSE,0,0,0,32003-Rio,uncommitted,Rio,Rio_Rio,0,0,Clark,NA,13
Park MGM,FALSE,0,0,0,32003-Park MGM,bennetm,Park MGM,Park MGM_Park MGM,0,0,Clark,NA,33
Park MGM,FALSE,0,0,0,32003-Park MGM,bidenj,Park MGM,Park MGM_Park MGM,0,0,Clark,NA,33
Park MGM,FALSE,0,0,0,32003-Park MGM,buttigiegp,Park MGM,Park MGM_Park MGM,0,0,Clark,NA,33
Park MGM,FALSE,0,0,0,32003-Park MGM,delaneyj,Park MGM,Park MGM_Park MGM,0,0,Clark,NA,33
Park MGM,FALSE,0,0,0,32003-Park MGM,gabbardt,Park MGM,Park MGM_Park MGM,0,0,Clark,NA,33
Park MGM,FALSE,0,0,0,32003-Park MGM,klobuchara,Park MGM,Park MGM_Park MGM,0,0,Clark,NA,33
Park MGM,FALSE,0,0,0,32003-Park MGM,patrickd,Park MGM,Park MGM_Park MGM,0,0,Clark,NA,33
Park MGM,FALSE,0,0,0,32003-Park MGM,sandersb,Park MGM,Park MGM_Park MGM,0,0,Clark,NA,33
Park MGM,FALSE,0,0,0,32003-Park MGM,steyert,Park MGM,Park MGM_Park MGM,0,0,Clark,NA,33
Park MGM,FALSE,0,0,0,32003-Park MGM,warrene,Park MGM,Park MGM_Park MGM,0,0,Clark,NA,33
Park MGM,FALSE,0,0,0,32003-Park MGM,yanga,Park MGM,Park MGM_Park MGM,0,0,Clark,NA,33
Park MGM,FALSE,0,0,0,32003-Park MGM,uncommitted,Park MGM,Park MGM_Park MGM,0,0,Clark,NA,33
Paris,FALSE,0,0,0,32003-Paris,bennetm,Paris,Paris_Paris,0,0,Clark,NA,33
Paris,FALSE,0,0,0,32003-Paris,bidenj,Paris,Paris_Paris,0,0,Clark,NA,33
Paris,FALSE,0,0,0,32003-Paris,buttigiegp,Paris,Paris_Paris,0,0,Clark,NA,33
Paris,FALSE,0,0,0,32003-Paris,delaneyj,Paris,Paris_Paris,0,0,Clark,NA,33
Paris,FALSE,0,0,0,32003-Paris,gabbardt,Paris,Paris_Paris,0,0,Clark,NA,33
Paris,FALSE,0,0,0,32003-Paris,klobuchara,Paris,Paris_Paris,0,0,Clark,NA,33
Paris,FALSE,0,0,0,32003-Paris,patrickd,Paris,Paris_Paris,0,0,Clark,NA,33
Paris,FALSE,0,0,0,32003-Paris,sandersb,Paris,Paris_Paris,0,0,Clark,NA,33
Paris,FALSE,0,0,0,32003-Paris,steyert,Paris,Paris_Paris,0,0,Clark,NA,33
Paris,FALSE,0,0,0,32003-Paris,warrene,Paris,Paris_Paris,0,0,Clark,NA,33
Paris,FALSE,0,0,0,32003-Paris,yanga,Paris,Paris_Paris,0,0,Clark,NA,33
Paris,FALSE,0,0,0,32003-Paris,uncommitted,Paris,Paris_Paris,0,0,Clark,NA,33
Mandalay Bay,FALSE,0,0,0,32003-Mandalay Bay,bennetm,Mandalay Bay,Mandalay Bay_Mandalay Bay,0,0,Clark,NA,33
Mandalay Bay,FALSE,0,0,0,32003-Mandalay Bay,bidenj,Mandalay Bay,Mandalay Bay_Mandalay Bay,0,0,Clark,NA,33
Mandalay Bay,FALSE,0,0,0,32003-Mandalay Bay,buttigiegp,Mandalay Bay,Mandalay Bay_Mandalay Bay,0,0,Clark,NA,33
Mandalay Bay,FALSE,0,0,0,32003-Mandalay Bay,delaneyj,Mandalay Bay,Mandalay Bay_Mandalay Bay,0,0,Clark,NA,33
Mandalay Bay,FALSE,0,0,0,32003-Mandalay Bay,gabbardt,Mandalay Bay,Mandalay Bay_Mandalay Bay,0,0,Clark,NA,33
Mandalay Bay,FALSE,0,0,0,32003-Mandalay Bay,klobuchara,Mandalay Bay,Mandalay Bay_Mandalay Bay,0,0,Clark,NA,33
Mandalay Bay,FALSE,0,0,0,32003-Mandalay Bay,patrickd,Mandalay Bay,Mandalay Bay_Mandalay Bay,0,0,Clark,NA,33
Mandalay Bay,FALSE,0,0,0,32003-Mandalay Bay,sandersb,Mandalay Bay,Mandalay Bay_Mandalay Bay,0,0,Clark,NA,33
Mandalay Bay,FALSE,0,0,0,32003-Mandalay Bay,steyert,Mandalay Bay,Mandalay Bay_Mandalay Bay,0,0,Clark,NA,33
Mandalay Bay,FALSE,0,0,0,32003-Mandalay Bay,warrene,Mandalay Bay,Mandalay Bay_Mandalay Bay,0,0,Clark,NA,33
Mandalay Bay,FALSE,0,0,0,32003-Mandalay Bay,yanga,Mandalay Bay,Mandalay Bay_Mandalay Bay,0,0,Clark,NA,33
Mandalay Bay,FALSE,0,0,0,32003-Mandalay Bay,uncommitted,Mandalay Bay,Mandalay Bay_Mandalay Bay,0,0,Clark,NA,33
