precinct_id,is_complete,GEOID10,precinct_name,votes,votes_align1,votes_alignfinal,candidate,precinct,precinct_full,align1,alignfinal,county,congressional_district,precinct_delegates
Clark - 1072,TRUE,32003-1072,1072,2,8,8,bennetm,Clark - 1072,Clark - 1072_Clark - 1072,0,0,NA,NA,NA
Clark - 1072,TRUE,32003-1072,1072,2,8,8,bidenj,Clark - 1072,Clark - 1072_Clark - 1072,4,4,NA,NA,NA
Clark - 1072,TRUE,32003-1072,1072,2,8,8,buttigiegp,Clark - 1072,Clark - 1072_Clark - 1072,0,0,NA,NA,NA
Clark - 1072,TRUE,32003-1072,1072,2,8,8,delaneyj,Clark - 1072,Clark - 1072_Clark - 1072,0,0,NA,NA,NA
Clark - 1072,TRUE,32003-1072,1072,2,8,8,gabbardt,Clark - 1072,Clark - 1072_Clark - 1072,0,0,NA,NA,NA
Clark - 1072,TRUE,32003-1072,1072,2,8,8,klobuchara,Clark - 1072,Clark - 1072_Clark - 1072,0,0,NA,NA,NA
Clark - 1072,TRUE,32003-1072,1072,2,8,8,patrickd,Clark - 1072,Clark - 1072_Clark - 1072,0,0,NA,NA,NA
Clark - 1072,TRUE,32003-1072,1072,2,8,8,sandersb,Clark - 1072,Clark - 1072_Clark - 1072,4,4,NA,NA,NA
Clark - 1072,TRUE,32003-1072,1072,2,8,8,steyert,Clark - 1072,Clark - 1072_Clark - 1072,0,0,NA,NA,NA
Clark - 1072,TRUE,32003-1072,1072,2,8,8,warrene,Clark - 1072,Clark - 1072_Clark - 1072,0,0,NA,NA,NA
Clark - 1072,TRUE,32003-1072,1072,2,8,8,yanga,Clark - 1072,Clark - 1072_Clark - 1072,0,0,NA,NA,NA
Clark - 1072,TRUE,32003-1072,1072,2,8,8,uncommitted,Clark - 1072,Clark - 1072_Clark - 1072,0,0,NA,NA,NA
Clark - 1711,TRUE,32003-1711,1711,1,2,2,bennetm,Clark - 1711,Clark - 1711_Clark - 1711,0,0,NA,NA,NA
Clark - 1711,TRUE,32003-1711,1711,1,2,2,bidenj,Clark - 1711,Clark - 1711_Clark - 1711,1,1,NA,NA,NA
Clark - 1711,TRUE,32003-1711,1711,1,2,2,buttigiegp,Clark - 1711,Clark - 1711_Clark - 1711,0,0,NA,NA,NA
Clark - 1711,TRUE,32003-1711,1711,1,2,2,delaneyj,Clark - 1711,Clark - 1711_Clark - 1711,0,0,NA,NA,NA
Clark - 1711,TRUE,32003-1711,1711,1,2,2,gabbardt,Clark - 1711,Clark - 1711_Clark - 1711,0,0,NA,NA,NA
