county,precinct,total_attendance,candidate,reported_del_given,align1,alignfinal,congressional_district,precinct_delegates,precinct_full
CLARK,6614,0,bennet,0,0,0,1,1,CLARK-6614
CLARK,6614,0,biden,0,0,0,1,1,CLARK-6614
CLARK,6614,0,buttigieg,0,0,0,1,1,CLARK-6614
CLARK,6614,0,delaney,0,0,0,1,1,CLARK-6614
CLARK,6614,0,gabbard,0,0,0,1,1,CLARK-6614
CLARK,6614,0,klobuchar,0,0,0,1,1,CLARK-6614
CLARK,6614,0,patrick,0,0,0,1,1,CLARK-6614
CLARK,6614,0,sanders,0,0,0,1,1,CLARK-6614
CLARK,6614,0,steyer,0,0,0,1,1,CLARK-6614
CLARK,6614,0,warren,0,0,0,1,1,CLARK-6614
CLARK,6614,0,yang,0,0,0,1,1,CLARK-6614
CLARK,6614,0,uncommitted,0,0,0,1,1,CLARK-6614
CLARK,1072,8,bennet,0,0,0,3,2,CLARK-1072
CLARK,1072,8,biden,1,4,4,3,2,CLARK-1072
CLARK,1072,8,buttigieg,0,0,0,3,2,CLARK-1072
CLARK,1072,8,delaney,0,0,0,3,2,CLARK-1072
CLARK,1072,8,gabbard,0,0,0,3,2,CLARK-1072
CLARK,1072,8,klobuchar,0,0,0,3,2,CLARK-1072
CLARK,1072,8,patrick,0,0,0,3,2,CLARK-1072
CLARK,1072,8,sanders,1,4,4,3,2,CLARK-1072
CLARK,1072,8,steyer,0,0,0,3,2,CLARK-1072
CLARK,1072,8,warren,0,0,0,3,2,CLARK-1072
CLARK,1072,8,yang,0,0,0,3,2,CLARK-1072
CLARK,1072,8,uncommitted,0,0,0,3,2,CLARK-1072
CLARK,1711,2,bennet,0,0,0,3,1,CLARK-1711
CLARK,1711,2,biden,1,1,1,3,1,CLARK-1711
CLARK,1711,2,buttigieg,0,0,0,3,1,CLARK-1711
CLARK,1711,2,delaney,0,0,0,3,1,CLARK-1711
CLARK,1711,2,gabbard,0,0,0,3,1,CLARK-1711
CLARK,1711,2,klobuchar,0,0,0,3,1,CLARK-1711
CLARK,1711,2,patrick,0,0,0,3,1,CLARK-1711
CLARK,1711,2,sanders,0,1,1,3,1,CLARK-1711
CLARK,1711,2,steyer,0,0,0,3,1,CLARK-1711
CLARK,1711,2,warren,0,0,0,3,1,CLARK-1711
CLARK,1711,2,yang,0,0,0,3,1,CLARK-1711
CLARK,1711,2,uncommitted,0,0,0,3,1,CLARK-1711
CLARK,2444,10,bennet,0,0,0,4,3,CLARK-2444
CLARK,2444,10,biden,1,4,5,4,3,CLARK-2444
CLARK,2444,10,buttigieg,1,2,2,4,3,CLARK-2444
CLARK,2444,10,delaney,0,0,0,4,3,CLARK-2444
CLARK,2444,10,gabbard,0,1,0,4,3,CLARK-2444
CLARK,2444,10,klobuchar,0,0,0,4,3,CLARK-2444
CLARK,2444,10,patrick,0,0,0,4,3,CLARK-2444
CLARK,2444,10,sanders,1,3,3,4,3,CLARK-2444
CLARK,2444,10,steyer,0,0,0,4,3,CLARK-2444
CLARK,2444,10,warren,0,0,0,4,3,CLARK-2444
CLARK,2444,10,yang,0,0,0,4,3,CLARK-2444
CLARK,2444,10,uncommitted,0,0,0,4,3,CLARK-2444
CLARK,2633,34,bennet,0,0,0,4,5,CLARK-2633
CLARK,2633,34,biden,2,7,11,4,5,CLARK-2633
CLARK,2633,34,buttigieg,0,5,0,4,5,CLARK-2633
CLARK,2633,34,delaney,0,0,0,4,5,CLARK-2633
CLARK,2633,34,gabbard,0,0,0,4,5,CLARK-2633
CLARK,2633,34,klobuchar,0,3,0,4,5,CLARK-2633
CLARK,2633,34,patrick,0,0,0,4,5,CLARK-2633
CLARK,2633,34,sanders,3,12,17,4,5,CLARK-2633
CLARK,2633,34,steyer,0,3,0,4,5,CLARK-2633
CLARK,2633,34,warren,0,4,1,4,5,CLARK-2633
CLARK,2633,34,yang,0,0,0,4,5,CLARK-2633
CLARK,2633,34,uncommitted,0,0,0,4,5,CLARK-2633
CLARK,3535,3,bennet,0,0,0,4,1,CLARK-3535
CLARK,3535,3,biden,1,2,2,4,1,CLARK-3535
CLARK,3535,3,buttigieg,0,0,0,4,1,CLARK-3535
CLARK,3535,3,delaney,0,0,0,4,1,CLARK-3535
CLARK,3535,3,gabbard,0,0,0,4,1,CLARK-3535
CLARK,3535,3,klobuchar,0,0,0,4,1,CLARK-3535
CLARK,3535,3,patrick,0,0,0,4,1,CLARK-3535
CLARK,3535,3,sanders,0,0,0,4,1,CLARK-3535
CLARK,3535,3,steyer,0,0,0,4,1,CLARK-3535
CLARK,3535,3,warren,0,1,1,4,1,CLARK-3535
CLARK,3535,3,yang,0,0,0,4,1,CLARK-3535
CLARK,3535,3,uncommitted,0,0,0,4,1,CLARK-3535
CLARK,3796,2,bennet,0,0,0,1,3,CLARK-3796
CLARK,3796,2,biden,0,0,0,1,3,CLARK-3796
CLARK,3796,2,buttigieg,0,0,0,1,3,CLARK-3796
CLARK,3796,2,delaney,0,0,0,1,3,CLARK-3796
CLARK,3796,2,gabbard,0,0,0,1,3,CLARK-3796
CLARK,3796,2,klobuchar,0,0,0,1,3,CLARK-3796
CLARK,3796,2,patrick,0,0,0,1,3,CLARK-3796
CLARK,3796,2,sanders,0,0,0,1,3,CLARK-3796
CLARK,3796,2,steyer,1,1,1,1,3,CLARK-3796
CLARK,3796,2,warren,2,1,1,1,3,CLARK-3796
CLARK,3796,2,yang,0,0,0,1,3,CLARK-3796
CLARK,3796,2,uncommitted,0,0,0,1,3,CLARK-3796
CLARK,4513,27,bennet,0,0,0,1,7,CLARK-4513
CLARK,4513,27,biden,2,5,8,1,7,CLARK-4513
CLARK,4513,27,buttigieg,0,4,0,1,7,CLARK-4513
CLARK,4513,27,delaney,0,0,0,1,7,CLARK-4513
CLARK,4513,27,gabbard,0,0,0,1,7,CLARK-4513
CLARK,4513,27,klobuchar,0,1,0,1,7,CLARK-4513
CLARK,4513,27,patrick,0,0,0,1,7,CLARK-4513
CLARK,4513,27,sanders,3,9,11,1,7,CLARK-4513
CLARK,4513,27,steyer,0,2,0,1,7,CLARK-4513
CLARK,4513,27,warren,2,6,8,1,7,CLARK-4513
CLARK,4513,27,yang,0,0,0,1,7,CLARK-4513
CLARK,4513,27,uncommitted,0,0,0,1,7,CLARK-4513
CLARK,6477,53,bennet,0,0,0,3,7,CLARK-6477
CLARK,6477,53,biden,2,12,14,3,7,CLARK-6477
CLARK,6477,53,buttigieg,2,11,16,3,7,CLARK-6477
CLARK,6477,53,delaney,0,0,0,3,7,CLARK-6477
CLARK,6477,53,gabbard,0,0,0,3,7,CLARK-6477
CLARK,6477,53,klobuchar,0,6,0,3,7,CLARK-6477
CLARK,6477,53,patrick,0,0,0,3,7,CLARK-6477
CLARK,6477,53,sanders,1,11,11,3,7,CLARK-6477
CLARK,6477,53,steyer,0,6,0,3,7,CLARK-6477
CLARK,6477,53,warren,2,7,12,3,7,CLARK-6477
CLARK,6477,53,yang,0,0,0,3,7,CLARK-6477
CLARK,6477,53,uncommitted,0,0,0,3,7,CLARK-6477
DOUGLAS,5,89,bennet,0,0,0,2,4,DOUGLAS-5
DOUGLAS,5,89,biden,0,8,0,2,4,DOUGLAS-5
DOUGLAS,5,89,buttigieg,2,29,41,2,4,DOUGLAS-5
DOUGLAS,5,89,delaney,0,0,0,2,4,DOUGLAS-5
DOUGLAS,5,89,gabbard,0,0,0,2,4,DOUGLAS-5
DOUGLAS,5,89,klobuchar,2,20,37,2,4,DOUGLAS-5
DOUGLAS,5,89,patrick,0,0,0,2,4,DOUGLAS-5
DOUGLAS,5,89,sanders,0,13,0,2,4,DOUGLAS-5
DOUGLAS,5,89,steyer,0,10,0,2,4,DOUGLAS-5
DOUGLAS,5,89,warren,0,9,7,2,4,DOUGLAS-5
DOUGLAS,5,89,yang,0,0,0,2,4,DOUGLAS-5
DOUGLAS,5,89,uncommitted,0,0,1,2,4,DOUGLAS-5
ELKO,1,25,bennet,0,0,0,2,3,ELKO-1
ELKO,1,25,biden,0,0,0,2,3,ELKO-1
ELKO,1,25,buttigieg,1,8,9,2,3,ELKO-1
ELKO,1,25,delaney,0,0,0,2,3,ELKO-1
ELKO,1,25,gabbard,0,0,0,2,3,ELKO-1
ELKO,1,25,klobuchar,0,2,0,2,3,ELKO-1
ELKO,1,25,patrick,0,0,0,2,3,ELKO-1
ELKO,1,25,sanders,2,13,15,2,3,ELKO-1
ELKO,1,25,steyer,0,1,0,2,3,ELKO-1
ELKO,1,25,warren,0,1,0,2,3,ELKO-1
ELKO,1,25,yang,0,0,0,2,3,ELKO-1
ELKO,1,25,uncommitted,0,0,0,2,3,ELKO-1
ELKO,19,16,bennet,0,0,0,2,1,ELKO-19
ELKO,19,16,biden,0,1,1,2,1,ELKO-19
ELKO,19,16,buttigieg,0,2,2,2,1,ELKO-19
ELKO,19,16,delaney,0,0,0,2,1,ELKO-19
ELKO,19,16,gabbard,0,0,0,2,1,ELKO-19
ELKO,19,16,klobuchar,0,2,2,2,1,ELKO-19
ELKO,19,16,patrick,0,0,0,2,1,ELKO-19
ELKO,19,16,sanders,0,4,4,2,1,ELKO-19
ELKO,19,16,steyer,0,2,2,2,1,ELKO-19
ELKO,19,16,warren,1,5,5,2,1,ELKO-19
ELKO,19,16,yang,0,0,0,2,1,ELKO-19
ELKO,19,16,uncommitted,0,0,0,2,1,ELKO-19
ELKO,20,19,bennet,0,0,0,2,6,ELKO-20
ELKO,20,19,biden,0,0,0,2,6,ELKO-20
ELKO,20,19,buttigieg,0,2,0,2,6,ELKO-20
ELKO,20,19,delaney,0,0,0,2,6,ELKO-20
ELKO,20,19,gabbard,0,0,0,2,6,ELKO-20
ELKO,20,19,klobuchar,2,5,5,2,6,ELKO-20
ELKO,20,19,patrick,0,0,0,2,6,ELKO-20
ELKO,20,19,sanders,2,7,8,2,6,ELKO-20
ELKO,20,19,steyer,0,0,0,2,6,ELKO-20
ELKO,20,19,warren,2,5,5,2,6,ELKO-20
ELKO,20,19,yang,0,0,0,2,6,ELKO-20
ELKO,20,19,uncommitted,0,0,0,2,6,ELKO-20
ELKO,21,12,bennet,0,0,0,2,2,ELKO-21
ELKO,21,12,biden,0,0,0,2,2,ELKO-21
ELKO,21,12,buttigieg,1,2,3,2,2,ELKO-21
ELKO,21,12,delaney,0,0,0,2,2,ELKO-21
ELKO,21,12,gabbard,0,1,0,2,2,ELKO-21
ELKO,21,12,klobuchar,0,0,0,2,2,ELKO-21
ELKO,21,12,patrick,0,0,0,2,2,ELKO-21
ELKO,21,12,sanders,1,6,6,2,2,ELKO-21
ELKO,21,12,steyer,0,0,0,2,2,ELKO-21
ELKO,21,12,warren,1,3,3,2,2,ELKO-21
ELKO,21,12,yang,0,0,0,2,2,ELKO-21
ELKO,21,12,uncommitted,0,0,0,2,2,ELKO-21
ELKO,33,7,bennet,0,0,0,2,1,ELKO-33
ELKO,33,7,biden,0,0,0,2,1,ELKO-33
ELKO,33,7,buttigieg,0,0,0,2,1,ELKO-33
ELKO,33,7,delaney,0,0,0,2,1,ELKO-33
ELKO,33,7,gabbard,0,0,0,2,1,ELKO-33
ELKO,33,7,klobuchar,1,4,4,2,1,ELKO-33
ELKO,33,7,patrick,0,0,0,2,1,ELKO-33
ELKO,33,7,sanders,0,3,3,2,1,ELKO-33
ELKO,33,7,steyer,0,0,0,2,1,ELKO-33
ELKO,33,7,warren,0,0,0,2,1,ELKO-33
ELKO,33,7,yang,0,0,0,2,1,ELKO-33
ELKO,33,7,uncommitted,0,0,0,2,1,ELKO-33
