county,precinct,total_attendance,candidate,reported_del_given,align1,alignfinal,congressional_district,precinct_delegates,precinct_full,is_complete
CARSON,101,127,Bennet,0,0,0,2,9,CARSON-101,TRUE
CARSON,101,127,Biden,0,10,0,2,9,CARSON-101,TRUE
CARSON,101,127,Buttigieg,2,21,24,2,9,CARSON-101,TRUE
CARSON,101,127,Delaney,0,0,0,2,9,CARSON-101,TRUE
CARSON,101,127,Gabbard,0,2,0,2,9,CARSON-101,TRUE
CARSON,101,127,Klobuchar,2,20,21,2,9,CARSON-101,TRUE
CARSON,101,127,Patrick,0,0,0,2,9,CARSON-101,TRUE
CARSON,101,127,Sanders,3,40,42,2,9,CARSON-101,TRUE
CARSON,101,127,Steyer,0,11,0,2,9,CARSON-101,TRUE
CARSON,101,127,Warren,2,22,22,2,9,CARSON-101,TRUE
CARSON,101,127,Yang,0,1,0,2,9,CARSON-101,TRUE
CARSON,101,127,Uncommitted,0,0,0,2,9,CARSON-101,TRUE
CARSON,103,162,Bennet,0,0,0,2,8,CARSON-103,TRUE
CARSON,103,162,Biden,0,0,0,2,8,CARSON-103,TRUE
CARSON,103,162,Buttigieg,2,10,47,2,8,CARSON-103,TRUE
CARSON,103,162,Delaney,0,0,0,2,8,CARSON-103,TRUE
CARSON,103,162,Gabbard,0,0,1,2,8,CARSON-103,TRUE
CARSON,103,162,Klobuchar,3,13,61,2,8,CARSON-103,TRUE
CARSON,103,162,Patrick,0,0,0,2,8,CARSON-103,TRUE
CARSON,103,162,Sanders,3,17,49,2,8,CARSON-103,TRUE
CARSON,103,162,Steyer,0,0,0,2,8,CARSON-103,TRUE
CARSON,103,162,Warren,0,0,0,2,8,CARSON-103,TRUE
CARSON,103,162,Yang,0,0,0,2,8,CARSON-103,TRUE
CARSON,103,162,Uncommitted,0,0,1,2,8,CARSON-103,TRUE
CARSON,105,156,Bennet,0,0,0,2,6,CARSON-105,TRUE
CARSON,105,156,Biden,0,19,0,2,6,CARSON-105,TRUE
CARSON,105,156,Buttigieg,2,28,52,2,6,CARSON-105,TRUE
CARSON,105,156,Delaney,0,0,0,2,6,CARSON-105,TRUE
CARSON,105,156,Gabbard,0,0,0,2,6,CARSON-105,TRUE
